,id,year,country,type,activity,fatal,country20
0,2016.09.18.c,2016,Usa,Unprovoked,Surfing,N,Y
1,2016.09.18.b,2016,Usa,Unprovoked,Surfing,N,Y
2,2016.09.18.a,2016,Usa,Unprovoked,Surfing,N,Y
3,2016.09.17,2016,Australia,Unprovoked,Surfing,N,Y
4,2016.09.15,2016,Australia,Unprovoked,Surfing,N,Y
5,2016.09.15.R,2016,Australia,Boat,Fishing,N,Y
6,2016.09.11,2016,Usa,Unprovoked,Wading,N,Y
7,2016.09.07,2016,Usa,Unprovoked,Swimming,N,Y
8,2016.09.06,2016,New Caledonia,Unprovoked,Surfing,Y,Y
9,2016.09.05.b,2016,Usa,Unprovoked,Boarding,N,Y
10,2016.09.05.a,2016,Australia,Unprovoked,Surfing,N,Y
11,2016.09.04,2016,Usa,Unprovoked,Boarding,N,Y
12,2016.09.01,2016,Usa,Unprovoked,Fishing,N,Y
13,2016.08.29.b,2016,Usa,Unprovoked,Surfing,N,Y
14,2016.08.29.a,2016,Usa,Unprovoked,Surfing,N,Y
15,2016.08.27,2016,Reunion,Unprovoked,Surfing,N,Y
16,2016.08.25,2016,Usa,Unprovoked,Wading,N,Y
17,2016.08.07,2016,Bahamas,Unprovoked,Snorkeling,N,Y
18,2016.08.06,2016,Usa,Unprovoked,Boarding,N,Y
19,2016.08.04,2016,Usa,Unprovoked,Surfing,N,Y
20,2016.07.29,2016,Spain,Unprovoked,Swimming,N,Y
21,2016.07.28.R,2016,China,Unprovoked,Swimming,N,N
22,2016.07.28,2016,Australia,Boat,Others,N,Y
23,2016.07.27,2016,Usa,Provoked,Others,N,Y
24,2016.07.26,2016,Australia,Unprovoked,Surfing,N,Y
25,2016.07.24,2016,Japan,Unprovoked,Surfing,N,Y
26,2016.07.23.b,2016,Australia,Unprovoked,Surfing,N,Y
27,2016.07.23.a,2016,Bahamas,Unprovoked,Fishing,N,Y
28,2016.07.20,2016,Australia,Provoked,Fishing,N,Y
29,2016.07.17,2016,Usa,Boat,Fishing,N,Y
30,2016.07.16.b,2016,Usa,Unprovoked,Surfing,N,Y
31,2016.07.15,2016,Usa,Unprovoked,Swimming,N,Y
32,2016.07.14.4,2016,Bahamas,Unprovoked,Diving,N,Y
33,2016.07.08.R,2016,Spain,Unprovoked,Wading,N,Y
34,2016.07.08,2016,Usa,Boat,Fishing,N,Y
35,2016.07.07.b,2016,Usa,Provoked,Fishing,N,Y
36,2016.07.07.a,2016,Usa,Boat,Fishing,N,Y
37,2016.07.06,2016,Usa,Unprovoked,Swimming,N,Y
38,2016.07.04,2016,Australia,Provoked,Fishing,N,Y
39,2016.06.25,2016,Usa,Unprovoked,Surfing,N,Y
40,2016.06.24,2016,Columbia,Unprovoked,Diving,N,N
41,2016.06.23,2016,South Africa,Unprovoked,Fishing,N,Y
42,2016.06.21.b,2016,Usa,Unprovoked,Others,N,Y
43,2016.06.21.a,2016,Usa,Unprovoked,Wading,N,Y
44,2016.06.15.b,2016,Usa,Unprovoked,Surfing,N,Y
45,2016.06.15.a,2016,Australia,Provoked,Fishing,N,Y
46,2016.06.14,2016,Usa,Unprovoked,Others,N,Y
47,2016.06.11,2016,Usa,Unprovoked,Standing,N,Y
48,2016.06.07,2016,Usa,Invalid,Surfing,N,Y
49,2016.06.05.b,2016,Usa,Unprovoked,Swimming,N,Y
50,2016.06.05.a,2016,Australia,Unprovoked,Diving,Y,Y
51,2016.06.04,2016,Egypt,Unprovoked,Swimming,N,Y
52,2016.06.02.a,2016,New Caledonia,Unprovoked,Surfing,N,Y
53,2016.05.31,2016,Australia,Unprovoked,Surfing,Y,Y
54,2016.05.29.b,2016,Usa,Unprovoked,Swimming,N,Y
55,2016.05.29.a,2016,Usa,Unprovoked,Swimming,N,Y
56,2016.05.22,2016,Usa,Unprovoked,Swimming,N,Y
57,2016.05.21.b,2016,Usa,Unprovoked,Swimming,N,Y
58,2016.05.21.a,2016,Usa,Unprovoked,Swimming,N,Y
59,2016.05.18,2016,Usa,Unprovoked,Swimming,N,Y
60,2016.05.15,2016,Usa,Provoked,Others,N,Y
61,2016.05.03,2016,Usa,Unprovoked,Others,N,Y
62,2016.05.02,2016,New Zealand,Provoked,Fishing,N,Y
63,2016.04.25,2016,Indonesia,Unprovoked,Surfing,N,N
64,2016.04.23,2016,Usa,Unprovoked,Surfing,N,Y
65,2016.04.22,2016,South Africa,Unprovoked,Surfing,N,Y
66,2016.04.19,2016,Australia,Unprovoked,Swimming,N,Y
67,2016.04.18,2016,French Polynesia,Provoked,Fishing,N,Y
68,2016.04.13,2016,Usa,Unprovoked,Fishing,N,Y
69,2016.04.09,2016,New Caledonia,Unprovoked,Others,Y,Y
70,2016.04.07.b,2016,Usa,Unprovoked,Fishing,N,Y
71,2016.04.07.a,2016,Usa,Invalid,Others,N,Y
72,2016.03.31,2016,Usa,Unprovoked,Snorkeling,N,Y
73,2016.03.30,2016,Australia,Unprovoked,Surfing,N,Y
74,2016.03.28.a,2016,Australia,Unprovoked,Surfing,N,Y
75,2016.03.13,2016,Usa,Invalid,Surfing,N,Y
76,2016.03.11,2016,Usa,Unprovoked,Surfing,N,Y
77,2016.03.10,2016,Fiji,Unprovoked,Diving,Y,Y
78,2016.03.03.R,2016,Australia,Unprovoked,Fishing,N,Y
79,2016.03.02,2016,Brazil,Unprovoked,Swimming,N,Y
80,2016.02.22,2016,New Caledonia,Unprovoked,Surfing,N,Y
81,2016.02.19,2016,New Caledonia,Unprovoked,Fishing,N,Y
82,2016.02.12,2016,Dominican Republic,Unprovoked,Wading,N,N
83,2016.02.10.R,2016,Cayman Islands,Invalid,Others,N,N
84,2016.02.10,2016,Australia,Invalid,Surfing,N,Y
85,2016.02.05,2016,Australia,Unprovoked,Others,N,Y
86,2016.02.04,2016,Australia,Unprovoked,Surfing,N,Y
87,2016.01.29,2016,South Africa,Boat,Fishing,N,Y
88,2016.01.28,2016,Usa,Unprovoked,Surfing,N,Y
89,2016.01.25,2016,Usa,Unprovoked,Surfing,N,Y
90,2016.01.24.b,2016,Usa,Unprovoked,Fishing,N,Y
91,2016.01.24.a,2016,United Arab Emirates,Boat,Fishing,N,N
92,2016.01.23,2016,Usa,Unprovoked,Boarding,N,Y
93,2016.01.11.R,2016,Australia,Unprovoked,Surfing,N,Y
94,2016.01.05,2016,Australia,Unprovoked,Wading,N,Y
95,2016.01.02,2016,Australia,Unprovoked,Fishing,N,Y
96,2015.12.26,2015,South Africa,Boat,Fishing,N,Y
97,2015.12.25,2015,Spain,Unprovoked,Swimming,N,Y
98,2015.12.22,2015,Usa,Unprovoked,Boarding,N,Y
99,2015.12.21.b,2015,Australia,Unprovoked,Surfing,N,Y
100,2015.12.21.a,2015,Brazil,Unprovoked,Diving,N,Y
101,2015.12.19,2015,Aruba,Unprovoked,Others,Y,N
102,2015.12.13,2015,Australia,Boat,Fishing,N,Y
103,2015.12.11,2015,Bahamas,Unprovoked,Fishing,N,Y
104,2015.12.08,2015,South Africa,Unprovoked,Swimming,N,Y
105,2015.11.16,2015,Usa,Unprovoked,Surfing,N,Y
106,2015.11.15.b,2015,Usa,Unprovoked,Swimming,N,Y
107,2015.11.15.a,2015,Usa,Unprovoked,Surfing,N,Y
108,2015.11.10,2015,Australia,Unprovoked,Surfing,N,Y
109,2015.12.23,2015,Usa,Invalid,Surfing,N,Y
110,2015.11.03,2015,Usa,Unprovoked,Swimming,N,Y
111,2015.11.01.b,2015,Usa,Unprovoked,Wading,N,Y
112,2015.11.01.a,2015,Mozambique,Unprovoked,Fishing,N,Y
113,2015.10.30,2015,Australia,Unprovoked,Fishing,N,Y
114,2015.10.28.a,2015,Usa,Unprovoked,Boarding,N,Y
115,2015.10.25,2015,South Africa,Unprovoked,Surfing,N,Y
116,2015.10.21,2015,Usa,Unprovoked,Surfing,N,Y
117,2015.10.19,2015,Usa,Unprovoked,Surfing,N,Y
118,2015.10.17.c,2015,Mozambique,Unprovoked,Fishing,Y,Y
119,2015.10.17.b,2015,Usa,Invalid,Surfing,N,Y
120,2015.10.17.a,2015,Usa,Unprovoked,Swimming,N,Y
121,2015.10.13,2015,Usa,Boat,Fishing,N,Y
122,2015.10.09.b,2015,Usa,Unprovoked,Boarding,N,Y
123,2015.10.09.a,2015,Usa,Unprovoked,Surfing,N,Y
124,2015.10.08,2015,Mozambique,Unprovoked,Fishing,N,Y
125,2015.10.07,2015,Australia,Unprovoked,Surfing,N,Y
126,2015.10.05.b,2015,Usa,Unprovoked,Boarding,N,Y
127,2015.10.05.a,2015,Usa,Unprovoked,Wading,N,Y
128,2015.10.04,2015,Usa,Unprovoked,Surfing,N,Y
129,2015.09.29,2015,Usa,Unprovoked,Surfing,N,Y
130,2015.09.26,2015,Australia,Unprovoked,Snorkeling,N,Y
131,2015.09.24,2015,Usa,Unprovoked,Fishing,N,Y
132,2015.09.20.d,2015,Usa,Unprovoked,Surfing,N,Y
133,2015.09.20.c,2015,Usa,Unprovoked,Fishing,N,Y
134,2015.09.20.b,2015,Usa,Unprovoked,Wading,N,Y
135,2015.09.20.a,2015,Usa,Unprovoked,Fishing,N,Y
136,2015.09.18,2015,Usa,Unprovoked,Swimming,N,Y
137,2015.09.17,2015,Usa,Unprovoked,Surfing,N,Y
138,2015.09.08,2015,Australia,Unprovoked,Surfing,N,Y
139,2015.09.06,2015,Usa,Unprovoked,Standing,N,Y
140,2015.09.05,2015,Usa,Provoked,Fishing,N,Y
141,2015.09.04,2015,Australia,Unprovoked,Surfing,N,Y
142,2015.09.01,2015,Thailand,Unprovoked,Wading,N,N
143,2015.09.00,2015,Fiji,Unprovoked,Fishing,N,Y
144,2015.08.29.b,2015,Usa,Unprovoked,Surfing,N,Y
145,2015.08.29.a,2015,Usa,Unprovoked,Surfing,N,Y
146,2015.08.22.a,2015,Australia,Unprovoked,Surfing,N,Y
147,2015.08.20,2015,Usa,Unprovoked,Surfing,N,Y
148,2015.08.19,2015,Usa,Unprovoked,Others,N,Y
149,2015.08.18.b,2015,Usa,Unprovoked,Fishing,N,Y
150,2015.08.18.a,2015,Spain,Invalid,Swimming,N,Y
151,2015.08.10,2015,Usa,Provoked,Fishing,N,Y
152,2015.07.31,2015,Australia,Unprovoked,Surfing,N,Y
153,2015.07.26.b,2015,Usa,Unprovoked,Surfing,N,Y
154,2015.07.26.a,2015,Usa,Invalid,Others,N,Y
155,2015.07.25,2015,Australia,Unprovoked,Diving,Y,Y
156,2015.07.23.b,2015,Usa,Provoked,Fishing,N,Y
157,2015.07.23.a,2015,Australia,Unprovoked,Surfing,N,Y
158,2015.07.22,2015,Reunion,Unprovoked,Surfing,N,Y
159,2015.07.19,2015,South Africa,Unprovoked,Surfing,N,Y
160,2015.07-10,2015,Usa,Unprovoked,Surfing,N,Y
161,2015.07.08,2015,Usa,Invalid,Others,N,Y
162,2015.07.06,2015,French Polynesia,Invalid,Swimming,N,Y
163,2015.07.04.b,2015,Bahamas,Unprovoked,Fishing,N,Y
164,2015.07.03,2015,Australia,Unprovoked,Surfing,N,Y
165,2015.07.02,2015,Australia,Unprovoked,Boarding,N,Y
166,2015.07.01,2015,Usa,Unprovoked,Swimming,N,Y
167,2015.06.30.b,2015,Australia,Unprovoked,Surfing,N,Y
168,2015.06.30.a,2015,Usa,Unprovoked,Others,N,Y
169,2015.06.27.b,2015,Usa,Unprovoked,Swimming,N,Y
170,2015.06.27.a,2015,South Africa,Unprovoked,Boarding,N,Y
171,2015.06.26.c,2015,Usa,Invalid,Swimming,N,Y
172,2015.06.26.b,2015,South Africa,Unprovoked,Surfing,N,Y
173,2015.06.26.a,2015,Usa,Unprovoked,Standing,N,Y
174,2015.06.25.R,2015,Australia,Provoked,Swimming,N,Y
175,2015.06.25,2015,Usa,Unprovoked,Surfing,N,Y
176,2015.06.24.b,2015,Usa,Unprovoked,Swimming,N,Y
177,2015.06.24.a,2015,Australia,Invalid,Surfing,N,Y
178,2015.06.23,2015,Usa,Unprovoked,Standing,N,Y
179,2015.06.19,2015,Puerto Rico,Unprovoked,Fishing,N,N
180,2015.06.17,2015,Usa,Unprovoked,Swimming,N,Y
181,2015.06.14.b,2015,Usa,Unprovoked,Wading,N,Y
182,2015.06.14.a,2015,Usa,Unprovoked,Wading,N,Y
183,2015.06.11,2015,Usa,Unprovoked,Boarding,N,Y
184,2015.06.07,2015,Usa,Unprovoked,Others,N,Y
185,2015.06.05,2015,Usa,Unprovoked,Others,N,Y
186,2015.06.01,2015,Reunion,Unprovoked,Surfing,N,Y
187,2015.05.29.b,2015,Usa,Unprovoked,Standing,N,Y
188,2015.05.29.a,2015,Usa,Unprovoked,Wading,N,Y
189,2015.05.25,2015,French Polynesia,Unprovoked,Fishing,N,Y
190,2015.05.24,2015,Usa,Unprovoked,Swimming,N,Y
191,2015.05.20,2015,Usa,Unprovoked,Surfing,N,Y
192,2015.05.09,2015,New Caledonia,Unprovoked,Snorkeling,Y,Y
193,2015.05.07,2015,Usa,Unprovoked,Swimming,N,Y
194,2015.05.03,2015,Australia,Unprovoked,Surfing,N,Y
195,2015.05.02,2015,South Africa,Unprovoked,Diving,N,Y
196,2015.04.29,2015,Usa,Unprovoked,Snorkeling,Y,Y
197,2015.04.26,2015,Usa,Unprovoked,Wading,N,Y
198,2015.04.25,2015,Australia,Unprovoked,Surfing,N,Y
199,2015.04.24.c,2015,Australia,Unprovoked,Surfing,N,Y
200,2015.04.13,2015,Usa,Unprovoked,Others,N,Y
201,2015.04.11,2015,Australia,Unprovoked,Boarding,N,Y
202,2015.04.12,2015,Reunion,Unprovoked,Surfing,Y,Y
203,2015.03.31,2015,Brazil,Invalid,Surfing,N,Y
204,2015.04.03,2015,Usa,Unprovoked,Fishing,N,Y
205,2015.03.29,2015,Italy,Invalid,Diving,Y,Y
206,2015.03.26,2015,South Africa,Boat,Fishing,N,Y
207,2015.03.21,2015,Egypt,Unprovoked,Swimming,Y,Y
208,2015.03.18,2015,Usa,Unprovoked,Standing,N,Y
209,2015.03.16,2015,French Polynesia,Unprovoked,Others,N,Y
210,2015.03.11,2015,Australia,Boat,Fishing,N,Y
211,2015.03.10,2015,Mexico,Provoked,Fishing,N,Y
212,2015.03.07,2015,French Polynesia,Unprovoked,Others,N,Y
213,2015.02.15,2015,Atlantic Ocean,Boat,Others,N,Y
214,2015.02.14,2015,Reunion,Unprovoked,Swimming,Y,Y
215,2015.02.09,2015,Australia,Unprovoked,Surfing,Y,Y
216,2015.02.08,2015,Australia,Unprovoked,Surfing,N,Y
217,2015.02.05,2015,Australia,Unprovoked,Surfing,N,Y
218,2015.01.30,2015,Australia,Boat,Others,N,Y
219,2015.01.27,2015,Usa,Provoked,Fishing,N,Y
220,2015.01.24,2015,Australia,Unprovoked,Surfing,N,Y
221,2015.01.19.b,2015,Usa,Boat,Fishing,N,Y
222,2015.01.19.a,2015,Australia,Invalid,Surfing,N,Y
223,2015.01.17,2015,Australia,Boat,Fishing,N,Y
224,2015.01.16,2015,Australia,Unprovoked,Others,N,Y
225,2015.01.08,2015,Usa,Invalid,Swimming,N,Y
226,2015.01.06,2015,Bahamas,Unprovoked,Snorkeling,N,Y
227,2015.01.03,2015,South Africa,Unprovoked,Surfing,N,Y
228,2014.12.29.b,2014,Australia,Unprovoked,Surfing,N,Y
229,2014.12.29.a,2014,Australia,Unprovoked,Fishing,Y,Y
230,2014.12.28.c,2014,South Africa,Invalid,Swimming,N,Y
231,2014.12.28.b,2014,Usa,Unprovoked,Surfing,N,Y
232,2014.12.28.a,2014,Australia,Provoked,Fishing,N,Y
233,2014.12.23.R,2014,Japan,Unprovoked,Diving,N,Y
234,2014.12.15,2014,Australia,Unprovoked,Fishing,Y,Y
235,2014.12.03.R,2014,Spain,Provoked,Fishing,N,Y
236,2014.11.29,2014,Australia,Unprovoked,Surfing,N,Y
237,2014.11.20,2014,Mauritius,Provoked,Fishing,Y,N
238,2014.11.19,2014,Australia,Boat,Fishing,N,Y
239,2014.11.16,2014,Usa,Unprovoked,Surfing,N,Y
240,2014.11.13,2014,Usa,Unprovoked,Snorkeling,N,Y
241,2014.11.10,2014,Australia,Unprovoked,Surfing,N,Y
242,2014.11.08,2014,Usa,Unprovoked,Surfing,N,Y
243,2014.10.31,2014,Usa,Unprovoked,Surfing,N,Y
244,2014.10.30,2014,Australia,Provoked,Surfing,N,Y
245,2014.10.22,2014,Usa,Unprovoked,Standing,N,Y
246,2014.10.20,2014,Usa,Unprovoked,Standing,N,Y
247,2014.10.19,2014,Usa,Boat,Others,N,Y
248,2014.10.18,2014,Usa,Unprovoked,Surfing,N,Y
249,2014.10.17,2014,Australia,Unprovoked,Surfing,N,Y
250,2014.10.14,2014,Usa,Unprovoked,Standing,N,Y
251,2014.10.12,2014,Usa,Unprovoked,Surfing,N,Y
252,2014.10.07,2014,Usa,Unprovoked,Fishing,N,Y
253,2014.10.11,2014,Australia,Boat,Others,N,Y
254,2014.10.05.b,2014,Usa,Unprovoked,Surfing,N,Y
255,2014.10.05.a,2014,Usa,Unprovoked,Surfing,N,Y
256,2014.10.03.b,2014,Usa,Boat,Others,N,Y
257,2014.10.03.a,2014,Usa,Boat,Others,N,Y
258,2014.10.02.b,2014,Usa,Unprovoked,Surfing,N,Y
259,2014.10.02.a,2014,Australia,Unprovoked,Surfing,N,Y
260,2014.09.21,2014,Usa,Unprovoked,Surfing,N,Y
261,2014.09.13.R,2014,French Polynesia,Unprovoked,Fishing,N,Y
262,2014.09.13,2014,Usa,Invalid,Surfing,N,Y
263,2014.09.09,2014,Australia,Unprovoked,Swimming,Y,Y
264,2014.09.06,2014,Usa,Unprovoked,Fishing,N,Y
265,2014.09.03,2014,Usa,Unprovoked,Others,N,Y
266,2014.09.02,2014,Usa,Provoked,Fishing,N,Y
267,2014.09.00,2014,Spain,Unprovoked,Others,N,Y
268,2014.08.31,2014,Usa,Unprovoked,Surfing,N,Y
269,2014.08.29.b,2014,Usa,Unprovoked,Surfing,N,Y
270,2014.08.28,2014,Usa,Provoked,Fishing,N,Y
271,2014.08.27.c,2014,Spain,Unprovoked,Swimming,N,Y
272,2014.08.27.b,2014,Usa,Unprovoked,Surfing,N,Y
273,2014.08.27.a,2014,Usa,Unprovoked,Standing,N,Y
274,2014.08.25,2014,Usa,Provoked,Fishing,N,Y
275,2014.08.24,2014,Usa,Unprovoked,Boarding,N,Y
276,2014.08.16,2014,Australia,Unprovoked,Fishing,N,Y
277,2014.08.12,2014,Usa,Unprovoked,Standing,N,Y
278,2014.08.09.R,2014,Bahamas,Unprovoked,Fishing,N,Y
279,2014.08.09,2014,Usa,Unprovoked,Swimming,N,Y
280,2014.08.08,2014,Usa,Unprovoked,Swimming,N,Y
281,2014.08.06,2014,Usa,Unprovoked,Boarding,N,Y
282,2014.08.05,2014,Usa,Unprovoked,Swimming,N,Y
283,2014.08.02,2014,Usa,Unprovoked,Surfing,N,Y
284,2014.08.02a,2014,Usa,Unprovoked,Boarding,N,Y
285,2014.08.01,2014,South Africa,Unprovoked,Surfing,N,Y
286,2014.07.27,2014,Usa,Unprovoked,Swimming,N,Y
287,2014.07.22,2014,Reunion,Unprovoked,Surfing,N,Y
288,2014.07.21,2014,Usa,Unprovoked,Standing,N,Y
289,2014.07.20,2014,Spain,Unprovoked,Wading,N,Y
290,2014.07.16,2014,Usa,Unprovoked,Swimming,N,Y
291,2014.07.14,2014,Usa,Unprovoked,Swimming,N,Y
292,2014.07.13,2014,Bahamas,Invalid,Diving,Y,Y
293,2014.07.12,2014,Usa,Unprovoked,Surfing,N,Y
294,2014.07.09,2014,Usa,Unprovoked,Surfing,N,Y
295,2014.07.05.b,2014,Usa,Provoked,Swimming,N,Y
296,2014.07.05.a,2014,Usa,Unprovoked,Surfing,N,Y
297,2014.07.03,2014,Usa,Unprovoked,Surfing,N,Y
298,2014.06.27.R,2014,St. Martin,Boat,Others,N,N
299,2014.06.25,2014,Bahamas,Unprovoked,Fishing,N,Y
300,2014.06.18.b,2014,Australia,Unprovoked,Surfing,N,Y
301,2014.06.18.a,2014,Australia,Unprovoked,Boarding,N,Y
302,2014.06.17.R,2014,Australia,Provoked,Others,N,Y
303,2014.06.09.c,2014,Brazil,Unprovoked,Fishing,N,Y
304,2014.06.09.b,2014,Usa,Unprovoked,Standing,N,Y
305,2014.06.09.a,2014,Australia,Unprovoked,Boarding,N,Y
306,2014.06.08,2014,Japan,Unprovoked,Surfing,N,Y
307,2014.06.07,2014,Usa,Unprovoked,Others,N,Y
308,2014.06.01.c,2014,Usa,Unprovoked,Swimming,N,Y
309,2014.06.01.b,2014,Australia,Unprovoked,Surfing,N,Y
310,2014.06.01.a,2014,Usa,Unprovoked,Others,N,Y
311,2014.05.27.R,2014,Australia,Unprovoked,Others,N,Y
312,2014.05.23,2014,France,Unprovoked,Diving,N,N
313,2014.05.22,2014,Australia,Provoked,Others,N,Y
314,2015.11.20,2015,Ecuador,Unprovoked,Snorkeling,N,N
315,2014.05.15,2014,Usa,Unprovoked,Boarding,N,Y
316,2014.05.14,2014,Australia,Unprovoked,Surfing,N,Y
317,2014.05.13,2014,Usa,Unprovoked,Wading,N,Y
318,2014.05.11,2014,Usa,Unprovoked,Surfing,N,Y
319,2014.05.10.R,2014,Usa,Invalid,Diving,N,Y
320,2014.05.06,2014,Usa,Unprovoked,Swimming,N,Y
321,2014.05.01,2014,Usa,Unprovoked,Surfing,N,Y
322,2014.04.24,2014,Australia,Unprovoked,Fishing,N,Y
323,2014.04.22,2014,Usa,Unprovoked,Swimming,N,Y
324,2014.04.15,2014,Usa,Unprovoked,Wading,N,Y
325,2014.04.12.R,2014,South Africa,Boat,Others,N,Y
326,2014.04.12,2014,South Africa,Provoked,Fishing,N,Y
327,2014.04.04.b,2014,Usa,Unprovoked,Surfing,N,Y
328,2014.04.04.a,2014,Usa,Unprovoked,Surfing,N,Y
329,2014.04.03,2014,Australia,Unprovoked,Swimming,Y,Y
330,2014.03.29,2014,Australia,Invalid,Diving,Y,Y
331,2014.03.22.b,2014,South Africa,Unprovoked,Swimming,Y,Y
332,2014.03.22.a,2014,Usa,Unprovoked,Surfing,N,Y
333,2014.03.21,2014,Usa,Unprovoked,Surfing,N,Y
334,2014.03.18.c,2014,New Caledonia,Unprovoked,Surfing,N,Y
335,2014.03.18.b,2014,Australia,Unprovoked,Surfing,N,Y
336,2014.03.13,2014,Cayman Islands,Invalid,Fishing,N,N
337,2014.03.12,2014,Australia,Unprovoked,Swimming,N,Y
338,2014.03.02,2014,Usa,Unprovoked,Surfing,N,Y
339,2014.02.20,2014,French Polynesia,Unprovoked,Surfing,N,Y
340,2014.02.17,2014,Papua New Guinea,Boat,Others,N,Y
341,2014.02.08,2014,Australia,Unprovoked,Fishing,Y,Y
342,2014.02.07.b,2014,Trinidad & Tobago,Provoked,Fishing,N,N
343,2014.02.07,2014,New Zealand,Unprovoked,Surfing,N,Y
344,2014.01.26,2014,Australia,Provoked,Fishing,N,Y
345,2014.01.25,2014,New Zealand,Unprovoked,Fishing,N,Y
346,2014.01.04,2014,Japan,Sea Disaster,Others,N,Y
347,2014.00.00,2014,New Zealand,Boat,Others,N,Y
348,2013.12.25,2013,New Caledonia,Unprovoked,Snorkeling,N,Y
349,2013.12.16,2013,South Africa,Unprovoked,Surfing,N,Y
350,2013.12.13,2013,Kiribati,Unprovoked,Fishing,N,N
351,2013.12.11,2013,Usa,Unprovoked,Boarding,N,Y
352,2013.12.10,2013,Usa,Unprovoked,Surfing,N,Y
353,2013.12.05,2013,Australia,Unprovoked,Surfing,N,Y
354,2013.12.02,2013,Usa,Unprovoked,Fishing,Y,Y
355,2013.11.30,2013,Australia,Unprovoked,Boarding,Y,Y
356,2013.11.29,2013,Usa,Unprovoked,Snorkeling,N,Y
357,2013.11.23.a,2013,Australia,Unprovoked,Surfing,Y,Y
358,2013.11.22,2013,Usa,Unprovoked,Surfing,N,Y
359,2013.11.12,2013,Australia,Unprovoked,Surfing,N,Y
360,2013.11.10,2013,Bahamas,Provoked,Fishing,N,Y
361,2013.11.07.b,2013,Usa,Unprovoked,Boarding,N,Y
362,2013.11.07.a,2013,Usa,Unprovoked,Surfing,N,Y
363,2013.10.31,2013,Usa,Unprovoked,Boarding,N,Y
364,2013.10.28,2013,Australia,Unprovoked,Snorkeling,N,Y
365,2013.10.26.b,2013,Reunion,Unprovoked,Boarding,N,Y
366,2013.10.26.a,2013,Australia,Unprovoked,Fishing,N,Y
367,2013.10.24,2013,Australia,Unprovoked,Surfing,N,Y
368,2013.10.23,2013,Usa,Unprovoked,Diving,N,Y
369,2013.10.20,2013,Usa,Unprovoked,Surfing,N,Y
370,2013.10.19,2013,Usa,Unprovoked,Wading,N,Y
371,2013.10.11,2013,South Africa,Unprovoked,Swimming,Y,Y
372,2013.10.08,2013,Australia,Unprovoked,Diving,N,Y
373,2013.10.05,2013,Usa,Unprovoked,Surfing,N,Y
374,2013.10.05a,2013,Usa,Unprovoked,Wading,N,Y
375,2013.09.29.b,2013,Usa,Unprovoked,Surfing,N,Y
376,2013.09.29.a,2013,Israel,Provoked,Diving,N,N
377,2013.09.25,2013,Usa,Unprovoked,Standing,N,Y
378,2013.09.21.b,2013,Usa,Unprovoked,Swimming,N,Y
379,2013.09.21.a,2013,Usa,Unprovoked,Surfing,N,Y
380,2013.09.14,2013,Usa,Unprovoked,Swimming,N,Y
381,2013.09.12,2013,Usa,Unprovoked,Surfing,N,Y
382,2013.09.07.b,2013,Usa,Provoked,Surfing,N,Y
383,2013.09.07.a,2013,Usa,Unprovoked,Standing,N,Y
384,2013.09.02,2013,Usa,Unprovoked,Swimming,N,Y
385,2013.09.01.a,2013,Usa,Unprovoked,Others,N,Y
386,2013.08.31.b,2013,Bahamas,Unprovoked,Fishing,N,Y
387,2013.08.31.a,2013,Usa,Unprovoked,Swimming,N,Y
388,2013.08.29,2013,Usa,Invalid,Swimming,N,Y
389,2013.08.26,2013,France,Provoked,Fishing,N,N
390,2013.08.25.b,2013,Usa,Unprovoked,Boarding,N,Y
391,2013.08.25,2013,Australia,Unprovoked,Others,N,Y
392,2013.08.18,2013,Usa,Unprovoked,Surfing,N,Y
393,2013.08.17,2013,Usa,Unprovoked,Surfing,N,Y
394,2013.08.14,2013,Usa,Unprovoked,Snorkeling,Y,Y
395,2013.08.13,2013,Usa,Unprovoked,Boarding,N,Y
396,2013.08.11,2013,Usa,Unprovoked,Surfing,N,Y
397,2013.08.08.R,2013,South Africa,Unprovoked,Others,N,Y
398,2013.08.05,2013,Usa,Unprovoked,Fishing,N,Y
399,2013.07.31,2013,Usa,Unprovoked,Snorkeling,N,Y
400,2013.07.30,2013,Usa,Unprovoked,Swimming,N,Y
401,2013.07.29.c,2013,Bahamas,Unprovoked,Fishing,N,Y
402,2013.07.29.b,2013,Mexico,Unprovoked,Wading,N,Y
403,2013.07.29.a,2013,Usa,Unprovoked,Surfing,N,Y
404,2013.07.28.b,2013,Bahamas,Unprovoked,Fishing,N,Y
405,2013.07.28.a,2013,Bahamas,Unprovoked,Diving,N,Y
406,2013.07.22,2013,Brazil,Unprovoked,Swimming,Y,Y
407,2013.07.19,2013,Usa,Unprovoked,Surfing,N,Y
408,2013.07.17.R,2013,Usa,Unprovoked,Swimming,N,Y
409,2013.07.15,2013,Reunion,Unprovoked,Swimming,Y,Y
410,2013.07.14,2013,Diego Garcia,Unprovoked,Swimming,Y,N
411,2013.07.11,2013,Usa,Unprovoked,Wading,N,Y
412,2013.07.09,2013,Spain,Invalid,Swimming,N,Y
413,2013.07.02,2013,Australia,Unprovoked,Surfing,N,Y
414,2013.06.30,2013,Taiwan,Unprovoked,Fishing,N,N
415,2013.06.25.c,2013,Usa,Unprovoked,Fishing,N,Y
416,2013.06.25.b,2013,Usa,Unprovoked,Swimming,N,Y
417,2013.06.25.a,2013,Usa,Unprovoked,Swimming,N,Y
